Timestamp,Agreement,Carry_method,New_plastic_number,Plastic_necessity_opinion,Plastic_purpose,Reusable_number,Reuse_plastic_practice,Shopping_reusable_practice,Attention,Plastic_harm_opinion,Reusable_more_use,Less_plastic_research,Income_reusable_opinion,Importance_rank_1,Importance_rank_2,Importance_rank_3,Importance_rank_4,Importance_rank_5,Age,Gender,Education,Dependants,City,Income,Increase_choice_1,Increase_choice_2,Increase_choice_3,Increase_choice_4,Increase_choice_5,Feedback
4/4/2021 12:50:29,I agree.,I use plastic bags provided by the supermarket,2,2,"Grocery shopping, Food take-outs",1,5,2,5,5,5,2,5,Food,Mobile data,Clothing,Entertainment (event tickets etc.),Reusable bags,18-24,Female,Completed High School or equivalent,0,Seoul - South Korea (Republic of Korea),0,Food,Mobile data,Clothing or cosmetics,Entertainment (event tickets etc.),Reusable Bags,
4/4/2021 12:52:32,I agree.,I bring my own reusable bags,3,3,Food take-outs,7,4,4,5,4,2,4,5,Food,Mobile data,Clothing,Entertainment (event tickets etc.),Reusable bags,18-24,Female,Completed High School or equivalent,0,Seoul - South Korea (Republic of Korea),500000,Food,Clothing or cosmetics,Entertainment (event tickets etc.),Mobile data,Reusable Bags,
4/4/2021 13:20:07,I agree.,I bring my own reusable bags,1,2,Grocery shopping,4,4,4,5,4,3,2,4,Food,Entertainment (event tickets etc.),Mobile data,Clothing,Reusable bags,18-24,Female,Completed High School or equivalent,0,Seoul - South Korea (Republic of Korea),0,Food,Clothing or cosmetics,Entertainment (event tickets etc.),Mobile data,Reusable Bags,Nope
4/4/2021 13:34:25,I agree.,I bring my own reusable bags,10,1,Food take-outs,5,5,4,5,5,5,2,5,Food,Entertainment (event tickets etc.),Mobile data,Clothing,Reusable bags,25-39,Female,Completed Bachelor's Degree or equivalent,1,Seoul - South Korea (Republic of Korea),2500000,Entertainment (event tickets etc.),Food,Clothing or cosmetics,Mobile data,Reusable Bags,"The question about how many plastic bags do I purchase in a week. I felt like that was unclear and so my answer reflected that. I don't intentionally purchase plastic bags every week. I purchase dog poop bags every few weeks for my dog, I purchase plastic small food storage bags every few months, and I purchase the Seoul city trash bags every few weeks, but I don't specifically purchase plastic bags every week."
4/4/2021 13:44:25,I agree.,I bring my own reusable bags,1,2,"Grocery shopping, Food take-outs",2,5,4,5,4,4,2,4,Food,Mobile data,Entertainment (event tickets etc.),Clothing,Reusable bags,18-24,Female,Completed High School or equivalent,0,Seoul - South Korea (Republic of Korea),0,Food,Mobile data,Entertainment (event tickets etc.),Clothing or cosmetics,Reusable Bags,
4/4/2021 14:15:37,I agree.,I use plastic bags provided by the supermarket,1,1,Grocery shopping,0,1,1,5,5,5,1,5,Food,Mobile data,Entertainment (event tickets etc.),Clothing,Reusable bags,18-24,Male,Completed Bachelor's Degree or equivalent,0,Seoul - South Korea (Republic of Korea),550000,Food,Clothing or cosmetics,Reusable Bags,Entertainment (event tickets etc.),Mobile data,"It wasn't confusing, but the questions that restricted me to the five options regarding 10% increase in income did not capture what else I wanted to spend money on, such as accessories, books, various things from stores"
4/4/2021 14:29:03,I agree.,I bring my own reusable bags,0,2,"Food take-outs, To store/shop for clothing",7,5,5,5,4,5,1,5,Food,Clothing,Mobile data,Reusable bags,Entertainment (event tickets etc.),18-24,Female,Completed High School or equivalent,0,Seoul - South Korea (Republic of Korea),0,Clothing or cosmetics,Food,Entertainment (event tickets etc.),Mobile data,Reusable Bags,Why did i have to rank the five things?
4/4/2021 13:05:44,I agree.,I bring my own reusable bags,0,1,When in a rush,1,3,5,5,5,5,3,5,Food,Clothing,Entertainment (event tickets etc.),Mobile data,Reusable bags,40-64,Male,Completed Bachelor's Degree or equivalent,3,Seoul - South Korea (Republic of Korea),12000000,Clothing or cosmetics,Entertainment (event tickets etc.),Food,Mobile data,Reusable Bags,None
4/4/2021 13:17:35,I agree.,I use plastic bags provided by the supermarket,2,3,To carry stuff,2,4,3,4,4,4,3,4,Food,Mobile data,Reusable bags,Clothing,Entertainment (event tickets etc.),25-39,Male,Completed Associate Degree or equivalent,0,Seoul - South Korea (Republic of Korea),1000000,Food,Mobile data,Reusable Bags,Clothing or cosmetics,Entertainment (event tickets etc.),None
4/4/2021 17:37:47,I agree.,I use plastic bags provided by the supermarket,3,5,Shopping,3,3,2,3,5,4,3,4,Food,Clothing,Entertainment (event tickets etc.),Mobile data,Reusable bags,18-24,Female,Completed High School or equivalent,0,Seoul - South Korea (Republic of Korea),400000,Clothing or cosmetics,Food,Entertainment (event tickets etc.),Mobile data,Reusable Bags,
4/4/2021 20:53:15,I agree.,I use plastic bags provided by the supermarket,3,1,Shopping,2,4,2,5,5,5,2,5,Food,Clothing,Mobile data,Entertainment (event tickets etc.),Reusable bags,18-24,Female,Completed High School or equivalent,0,Seoul - South Korea (Republic of Korea),0,Clothing or cosmetics,Entertainment (event tickets etc.),Reusable Bags,Mobile data,F,Nope
4/4/2021 20:54:21,I agree.,I use plastic bags provided by the supermarket,1,2,Shopping,3,1,2,5,5,5,3,4,Food,Entertainment (event tickets etc.),Mobile data,Clothing,Reusable bags,18-24,Male,Completed High School or equivalent,0,Seoul - South Korea (Republic of Korea),0,Food,Entertainment (event tickets etc.),Clothing or cosmetics,Mobile data,Reusable Bags,
4/4/2021 20:59:28,I agree.,I use plastic bags provided by the supermarket,1,3,Shopping,0,4,3,5,5,5,2,3,Food,Entertainment (event tickets etc.),Clothing,Mobile data,Reusable bags,18-24,Male,Completed High School or equivalent,0,Seoul - South Korea (Republic of Korea),400000,Clothing or cosmetics,Entertainment (event tickets etc.),Mobile data,Food,Reusable Bags,Nono
