Timestamp,Agreement,Carry_method,New_plastic_number,Plastic_necessity_opinion,Plastic_purpose,Reusable_number,Reuse_plastic_practice,Shopping_reusable_practice,Attention,Plastic_harm_opinion,Reusable_more_use,Less_plastic_research,Income_reusable_opinion,Importance_rank_1,Importance_rank_2,Importance_rank_3,Importance_rank_4,Importance_rank_5,Age,Gender,Education,Dependants,City,Income,Increase_choice_1,Increase_choice_2,Increase_choice_3,Increase_choice_4,Increase_choice_5,Feedback
4/4/21 14:32,I agree.,I bring my own reusable bags,3,2,"Grocery shopping, Food take-outs, To store/shop for clothing, For trash ",5,5,4,5,5,5,5,5,Food,Clothing,Mobile data,Reusable bags,Entertainment (event tickets etc.),18-24,Female,Completed High School or equivalent,0,Ulaanbaatar - Mongolia,0,Clothing or cosmetics,Food,Mobile data,Reusable Bags,Entertainment (event tickets etc.),"I feel like the multiple-choice grid question for ranking different necessities could have been improved because the amount of money spent on those categories are not actually comparable. Their scales are different to me at least. Even though I use reusable bags a lot, I still spend more on the other ones. "
4/6/21 16:12,I agree.,I use plastic bags provided by the supermarket,3,4,Grocery shopping,2,4,2,5,5,4,1,3,Food,Entertainment (event tickets etc.),Clothing,Mobile data,Reusable bags,18-24,Male,Completed High School or equivalent,0,Ulaanbaatar - Mongolia,0,Food,Entertainment (event tickets etc.),Clothing or cosmetics,Mobile data,Reusable Bags,No
4/6/21 17:20,I agree.,I use plastic bags provided by the supermarket,3,4,Grocery shopping,3,4,3,5,4,5,2,4,Food,Clothing,Mobile data,Entertainment (event tickets etc.),Reusable bags,18-24,Female,Completed High School or equivalent,0,Ulaanbaatar - Mongolia,0,Clothing or cosmetics,Food,Reusable Bags,Entertainment (event tickets etc.),Mobile data,No
4/6/21 17:21,I agree.,I bring my own reusable bags,1,2,Grocery shopping,6,5,5,5,4,5,4,5,Food,Clothing,Mobile data,Entertainment (event tickets etc.),Reusable bags,18-24,Female,Completed High School or equivalent,1,Ulaanbaatar - Mongolia,1000000,Clothing or cosmetics,Food,Mobile data,Entertainment (event tickets etc.),Reusable Bags,No
4/6/21 21:00,I agree.,I use plastic bags provided by the supermarket,2,3,"Grocery shopping, Food take-outs, To store/shop for clothing",0,4,1,5,5,5,1,5,Food,Clothing,Entertainment (event tickets etc.),Mobile data,Reusable bags,18-24,Male,Completed High School or equivalent,0,Ulaanbaatar - Mongolia,500000,Food,Clothing or cosmetics,Entertainment (event tickets etc.),Mobile data,Reusable Bags,
4/6/21 21:13,I agree.,I use plastic bags provided by the supermarket,3,1,"Grocery shopping, Food take-outs",3,5,1,5,1,5,2,2,Food,Clothing,Mobile data,Entertainment (event tickets etc.),Reusable bags,18-24,Female,Completed High School or equivalent,0,Ulaanbaatar - Mongolia,0,Clothing or cosmetics,Entertainment (event tickets etc.),Food,Mobile data,Reusable Bags,No
4/6/21 21:14,I agree.,I bring my own reusable bags,1,2,To store/shop for clothing,3,5,5,5,5,5,3,5,Food,Clothing,Entertainment (event tickets etc.),Mobile data,Reusable bags,18-24,Female,Completed High School or equivalent,0,Ulaanbaatar - Mongolia,1100000,Clothing or cosmetics,Food,Entertainment (event tickets etc.),Mobile data,Reusable Bags,No :)
4/6/21 21:16,I agree.,I use plastic bags provided by the supermarket,2,2,"Grocery shopping, Food take-outs",1,2,2,5,5,5,3,5,Food,Clothing,Mobile data,Reusable bags,Entertainment (event tickets etc.),18-24,Female,Completed High School or equivalent,0,Ulaanbaatar - Mongolia,1100000,Food,Entertainment (event tickets etc.),Clothing or cosmetics,Reusable Bags,Mobile data,
4/6/21 21:16,I agree.,i bring my own bags about half of the rime,5,2,To store/shop for clothing,3,4,3,5,4,5,1,3,Clothing,Food,Entertainment (event tickets etc.),Reusable bags,Mobile data,18-24,Female,Completed High School or equivalent,0,Ulaanbaatar - Mongolia,400000,Clothing or cosmetics,Food,Entertainment (event tickets etc.),Reusable Bags,Mobile data,no
4/6/21 21:20,I agree.,I use plastic bags provided by the supermarket,3,3,Grocery shopping,5,5,2,5,5,4,2,4,Food,Clothing,Entertainment (event tickets etc.),Mobile data,Reusable bags,18-24,Female,Completed High School or equivalent,1,Ulaanbaatar - Mongolia,1400000,Clothing or cosmetics,Entertainment (event tickets etc.),Reusable Bags,Food,Mobile data,N/A
