Timestamp,Agreement,Carry_method,New_plastic_number,Plastic_necessity_opinion,Plastic_purpose,Reusable_number,Reuse_plastic_practice,Shopping_reusable_practice,Attention,Plastic_harm_opinion,Reusable_more_use,Less_plastic_research,Income_reusable_opinion,Importance_rank_1,Importance_rank_2,Importance_rank_3,Importance_rank_4,Importance_rank_5,Age,Gender,Education,Dependants,City,Income,Increase_choice_1,Increase_choice_2,Increase_choice_3,Increase_choice_4,Increase_choice_5,Feedback
4/4/2021 21:14:59,I agree.,I use plastic bags provided by the supermarket,4,3,"Grocery shopping, Food take-outs, To store/shop for clothing",2,5,2,5,5,5,4,5,Food,Entertainment (event tickets etc.),Clothing,Mobile data,Reusable bags,25-39,Female,Completed Bachelor's Degree or equivalent,3,Cebu - Philippines,18000,Clothing or cosmetics,Entertainment (event tickets etc.),Food,Reusable Bags,Mobile data,none
4/4/2021 21:27:49,I agree.,I use plastic bags provided by the supermarket,3,3,Grocery shopping,2,5,2,5,5,5,5,3,Food,Mobile data,Reusable bags,Clothing,Entertainment (event tickets etc.),18-24,Male,Completed High School or equivalent,0,Cebu - Philippines,0,Food,Mobile data,Clothing or cosmetics,Reusable Bags,Entertainment (event tickets etc.),None
4/4/2021 21:32:21,I agree.,I use plastic bags provided by the supermarket,1,2,"Grocery shopping, Food take-outs, To store/shop for clothing",8,5,4,5,5,5,4,5,Food,Mobile data,Clothing,Reusable bags,Entertainment (event tickets etc.),25-39,Female,Completed Bachelor's Degree or equivalent,3,Cebu - Philippines,17000,Food,Clothing or cosmetics,Mobile data,Reusable Bags,Entertainment (event tickets etc.),None
4/4/2021 21:48:44,I agree.,I use plastic bags provided by the supermarket,1,3,"Grocery shopping, Food take-outs",5,4,1,5,5,5,2,5,Food,Mobile data,Clothing,Entertainment (event tickets etc.),Reusable bags,25-39,Male,Completed Bachelor's Degree or equivalent,2,Cebu - Philippines,20000,Food,Mobile data,Clothing or cosmetics,Entertainment (event tickets etc.),Reusable Bags,none
4/4/2021 22:26:14,I agree.,I use plastic bags provided by the supermarket,3,3,Grocery shopping,5,4,4,5,5,5,5,5,Food,Mobile data,Clothing,Entertainment (event tickets etc.),Reusable bags,25-39,Female,Completed Ph.D. or equivalent,2,Cebu - Philippines,30000,Food,Clothing or cosmetics,Reusable Bags,Mobile data,Entertainment (event tickets etc.),none
4/5/2021 1:05:35,I agree.,I bring my own reusable bags,1,1,garbage container,20,5,5,5,5,5,5,5,Food,Clothing,Mobile data,Reusable bags,Entertainment (event tickets etc.),40-64,Female,Completed Bachelor's Degree or equivalent,4,Cebu - Philippines,17000,Food,Clothing or cosmetics,Mobile data,Reusable Bags,Entertainment (event tickets etc.),none
4/5/2021 11:02:07,I agree.,I use plastic bags provided by the supermarket,7,2,"Grocery shopping, Food take-outs",3,5,5,5,5,5,5,5,Food,Clothing,Entertainment (event tickets etc.),Mobile data,Reusable bags,25-39,Male,Completed Bachelor's Degree or equivalent,2,Cebu - Philippines,25000,Food,Reusable Bags,Entertainment (event tickets etc.),Mobile data,Clothing or cosmetics,Nope
4/5/2021 14:30:51,I agree.,I use plastic bags provided by the supermarket,3,3,"Grocery shopping, Food take-outs, To store/shop for clothing",6,5,3,5,5,5,3,4,Food,Clothing,Reusable bags,Mobile data,Entertainment (event tickets etc.),25-39,Female,Completed Bachelor's Degree or equivalent,2,Cebu - Philippines,17000,Food,Clothing or cosmetics,Mobile data,Reusable Bags,Entertainment (event tickets etc.),None
4/5/2021 14:40:56,I agree.,I use plastic bags provided by the supermarket,5,3,"Grocery shopping, Food take-outs, To store/shop for clothing",5,5,3,5,5,5,3,5,Food,Clothing,Mobile data,Reusable bags,Entertainment (event tickets etc.),25-39,Male,Completed Bachelor's Degree or equivalent,3,Cebu - Philippines,18000,Food,Clothing or cosmetics,Mobile data,Reusable Bags,Entertainment (event tickets etc.),none
4/5/2021 14:43:38,I agree.,I use plastic bags provided by the supermarket,2,2,Grocery shopping,10,4,3,5,5,5,3,4,Food,Clothing,Reusable bags,Entertainment (event tickets etc.),Mobile data,25-39,Female,Completed Bachelor's Degree or equivalent,2,Cebu - Philippines,18000,Food,Reusable Bags,Clothing or cosmetics,Mobile data,Entertainment (event tickets etc.),None
